Conqueror,9,,,,,-0.719762,2,5,,,,,,-0.719762,2,5
Manager,16,,,,,-0.852114,1,5,,,,,,-0.852114,1,5
Wanderer,12,,,,,-0.852114,1,5,,,,,,-0.852114,1,5
Participant,5,,,,,-0.852114,1,5,,-0.719762,2,5,,-0.852114,1,5
,,,,,,-1.234647,0,6,,-1.460781,0,7,,-0.614798,2,5
CqRatio1,0.5625,-1.777777778,,,,-1.043383,1,6,,-0.900771,3,8,,0.574178,6,5
CqRatio2,0.642857143,,,,,-0.883446,2,7,,0.867561,9,5,,2.00198,10,2
CqRatio3,0.818181818,,,,,-0.389328,3,6,,0.640827,8,5,,0.502792,7,4
CqRatio4,0.857142857,,,,,-0.700771,3,7,,-1.873512,3,10,,0.702481,9,6
,,,,,,-0.700771,3,7,,-1.143907,3,7,,-0.202283,7,7
,,,,,,-0.700771,3,7,,-1.101586,5,9,,0.780573,8,5
Sex,Male,,,,,-1.135594,3,8,,0.453998,8,5,,1.470724,10,3
Age,27,,,,,-0.186826,5,6,,-0.388568,6,7,,0.650847,6,4
PacExprnce,Intermediate,,,,,,,,,,,,,,,
Gamer Type,Hardcore,,,,,0.282076457,,,,0.933931848,,,,0.952142006,,
Gplay liked,RTS,FPS,Puzzle,,AVG,-0.788587769,2.153846154,6.153846154,,-0.5626501,4.7,6.8,,0.199260769,5.384615385,4.692307692
Gplay hated,MMO grind,,,,SUM,-10.251641,28,80,,-5.626501,47,68,,2.59039,70,61
StudentNum,70182105,,,,Ratio Cq:Not,,,,,,,,,,1.147540984,
Client IP,172,212,82,252,Ratio Not:Cq,,,2.857142857,,,,1.446808511,,,,
